Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,segment
12451.00,99,3,3634.36,2,3,5.00,23,at_Risk
12454.00,31,4,13151.44,4,4,5.00,44,loyal_customers
12455.00,81,4,3413.09,2,4,5.00,24,at_Risk
12457.00,71,1,632.68,3,1,3.00,31,about_to_sleep
12458.00,63,2,830.09,3,2,3.00,32,about_to_sleep
12459.00,241,1,454.36,1,1,2.00,11,hibernating
12460.00,92,1,326.65,2,1,2.00,21,hibernating
12466.00,318,1,56.73,1,1,1.00,11,hibernating
12467.00,59,1,132.80,3,1,1.00,31,about_to_sleep
12468.00,162,3,2941.20,2,3,5.00,23,at_Risk
12469.00,158,2,3070.54,2,2,5.00,22,hibernating
12470.00,325,1,211.95,1,1,1.00,11,hibernating
12471.00,10,49,20139.74,5,5,5.00,55,champions
12472.00,5,13,11308.48,5,5,5.00,55,champions
12474.00,14,13,5048.66,5,5,5.00,55,champions
12475.00,45,1,426.26,3,1,2.00,31,about_to_sleep
12476.00,32,12,7298.99,4,5,5.00,45,loyal_customers
12477.00,35,3,7056.63,4,3,5.00,43,potential_loyalists
12480.00,35,3,2183.22,4,3,5.00,43,potential_loyalists
12481.00,1,6,6765.07,5,4,5.00,54,champions
12482.00,212,29,23691.40,1,5,5.00,15,cant_loose
12483.00,14,11,2635.60,5,5,5.00,55,champions
12484.00,119,6,1828.43,2,4,4.00,24,at_Risk
12485.00,165,1,708.10,2,1,3.00,21,hibernating
12486.00,67,1,1037.28,3,1,4.00,31,about_to_sleep
12487.00,366,1,285.30,1,1,2.00,11,hibernating
12490.00,14,11,4405.71,5,5,5.00,55,champions
12492.00,39,1,452.00,3,1,2.00,31,about_to_sleep
12494.00,1,3,626.77,5,3,3.00,53,potential_loyalists
12495.00,276,1,357.40,1,1,2.00,11,hibernating
12496.00,256,2,54.09,1,2,1.00,12,hibernating
12497.00,36,2,5205.40,4,2,5.00,42,potential_loyalists
12499.00,196,1,393.72,1,1,2.00,11,hibernating
12500.00,71,8,1697.39,3,5,4.00,35,loyal_customers
12503.00,220,1,1126.00,1,1,4.00,11,hibernating
12504.00,53,2,297.00,3,2,2.00,32,about_to_sleep
12505.00,44,1,955.20,3,1,3.00,31,about_to_sleep
12507.00,220,1,539.25,1,1,3.00,11,hibernating
12510.00,95,7,4195.45,2,5,5.00,25,cant_loose
12511.00,64,1,3084.02,3,1,5.00,31,about_to_sleep
12514.00,277,1,580.08,1,1,3.00,11,hibernating
12516.00,66,2,1336.56,3,2,4.00,32,about_to_sleep
12519.00,112,1,385.70,2,1,2.00,21,hibernating
12523.00,10,12,2582.38,5,5,5.00,55,champions
12524.00,24,9,6640.39,4,5,5.00,45,loyal_customers
12525.00,134,3,973.73,2,3,3.00,23,at_Risk
12527.00,130,2,386.80,2,2,2.00,22,hibernating
12529.00,164,1,316.48,2,1,2.00,21,hibernating
12530.00,51,5,2096.98,3,4,4.00,34,loyal_customers
12531.00,322,1,1807.98,1,1,4.00,11,hibernating
12533.00,263,2,1367.89,1,2,4.00,12,hibernating
12537.00,44,1,732.94,3,1,3.00,31,about_to_sleep
12538.00,14,1,276.50,5,1,2.00,51,new_customers
12539.00,86,3,5646.40,2,3,5.00,23,at_Risk
12540.00,14,16,8854.25,5,5,5.00,55,champions
12542.00,120,2,481.88,2,2,2.00,22,hibernating
12543.00,84,1,980.25,2,1,3.00,21,hibernating
12547.00,136,1,175.78,2,1,1.00,21,hibernating
12549.00,211,6,1575.68,1,4,4.00,14,at_Risk
12553.00,21,2,916.47,4,2,3.00,42,potential_loyalists
12554.00,84,1,468.50,2,1,2.00,21,hibernating
12555.00,318,1,129.23,1,1,1.00,11,hibernating
12557.00,7,4,6725.18,5,4,5.00,54,champions
12562.00,21,2,1185.18,4,2,4.00,42,potential_loyalists
12563.00,44,1,249.24,3,1,1.00,31,about_to_sleep
12567.00,3,7,4308.58,5,5,5.00,55,champions
12568.00,280,1,70.00,1,1,1.00,11,hibernating
12570.00,318,1,77.52,1,1,1.00,11,hibernating
12573.00,17,4,556.87,4,4,3.00,44,loyal_customers
12575.00,93,2,622.82,2,2,3.00,22,hibernating
12576.00,28,3,826.89,4,3,3.00,43,potential_loyalists
12577.00,17,5,995.95,4,4,4.00,44,loyal_customers
12578.00,21,2,1847.94,4,2,4.00,42,potential_loyalists
12580.00,212,1,637.20,1,1,3.00,11,hibernating
12582.00,58,2,1469.04,3,2,4.00,32,about_to_sleep
12583.00,9,13,7166.06,5,5,5.00,55,champions
12586.00,10,3,1865.73,5,3,4.00,53,potential_loyalists
12588.00,35,3,743.88,4,3,3.00,43,potential_loyalists
12589.00,57,6,4048.98,3,4,5.00,34,loyal_customers
12591.00,26,2,899.30,4,2,3.00,42,potential_loyalists
12592.00,155,3,2145.06,2,3,4.00,23,at_Risk
12594.00,14,5,1751.89,5,4,4.00,54,champions
12595.00,140,1,299.02,2,1,2.00,21,hibernating
12598.00,99,3,1511.01,2,3,4.00,23,at_Risk
12599.00,17,6,1264.14,4,4,4.00,44,loyal_customers
12600.00,7,12,2444.88,5,5,5.00,55,champions
12601.00,40,1,104.20,3,1,1.00,31,about_to_sleep
12605.00,12,4,1232.95,5,4,4.00,54,champions
12606.00,318,1,21.00,1,1,1.00,11,hibernating
12608.00,40,1,415.79,3,1,2.00,31,about_to_sleep
12609.00,10,6,2309.01,5,4,5.00,54,champions
12613.00,24,5,3490.69,4,4,5.00,44,loyal_customers
12615.00,49,4,3449.79,3,4,5.00,34,loyal_customers
12616.00,24,1,417.80,4,1,2.00,41,promising
12619.00,196,1,140.14,1,1,1.00,11,hibernating
12621.00,1,16,11086.14,5,5,5.00,55,champions
12623.00,52,6,3442.74,3,4,5.00,34,loyal_customers
12625.00,145,2,2481.06,2,2,5.00,22,hibernating
12629.00,21,2,1558.22,4,2,4.00,42,potential_loyalists
12631.00,92,5,2841.07,2,4,5.00,24,at_Risk
12632.00,156,2,804.88,2,2,3.00,22,hibernating
12633.00,18,3,3514.18,4,3,5.00,43,potential_loyalists
12634.00,171,2,490.00,2,2,2.00,22,hibernating
12635.00,28,2,1241.23,4,2,4.00,42,potential_loyalists
12636.00,374,1,141.00,1,1,1.00,11,hibernating
12637.00,14,4,2318.41,5,4,5.00,54,champions
12638.00,275,1,249.80,1,1,1.00,11,hibernating
12639.00,70,2,826.27,3,2,3.00,32,about_to_sleep
12643.00,21,6,5005.78,4,4,5.00,44,loyal_customers
12644.00,66,3,1440.58,3,3,4.00,33,need_attention
12645.00,45,4,1764.12,3,4,4.00,34,loyal_customers
12647.00,3,27,14201.53,5,5,5.00,55,champions
12648.00,73,3,793.95,2,3,3.00,23,at_Risk
12649.00,18,5,1671.14,4,4,4.00,44,loyal_customers
12651.00,14,3,263.75,5,3,2.00,53,potential_loyalists
12652.00,70,1,97.05,3,1,1.00,31,about_to_sleep
12653.00,162,1,1950.98,2,1,4.00,21,hibernating
12655.00,59,1,261.35,3,1,2.00,31,about_to_sleep
12656.00,61,3,2356.66,3,3,5.00,33,need_attention
12661.00,72,1,162.00,2,1,1.00,21,hibernating
12662.00,9,10,3138.24,5,5,5.00,55,champions
12663.00,260,2,239.40,1,2,1.00,12,hibernating
12664.00,150,2,1188.16,2,2,4.00,22,hibernating
12665.00,53,2,250.60,3,2,1.00,32,about_to_sleep
12666.00,30,1,1248.42,4,1,4.00,41,promising
12668.00,14,6,7637.53,5,4,5.00,54,champions
12670.00,21,2,764.24,4,2,3.00,42,potential_loyalists
12671.00,242,1,2622.48,1,1,5.00,11,hibernating
12672.00,231,1,211.15,1,1,1.00,11,hibernating
12673.00,37,1,619.50,3,1,3.00,31,about_to_sleep
12675.00,189,2,958.50,1,2,3.00,12,hibernating
12676.00,44,5,1511.70,3,4,4.00,34,loyal_customers
12677.00,191,2,395.10,1,2,2.00,12,hibernating
12678.00,11,9,16652.72,5,5,5.00,55,champions
12681.00,3,24,17080.74,5,5,5.00,55,champions
12682.00,1,23,11745.69,5,5,5.00,55,champions
12683.00,1,8,4220.21,5,5,5.00,55,champions
12686.00,7,1,89.14,5,1,1.00,51,new_customers
12687.00,116,2,2138.91,2,2,4.00,22,hibernating
12691.00,56,1,134.60,3,1,1.00,31,about_to_sleep
12692.00,273,1,110.95,1,1,1.00,11,hibernating
12693.00,32,3,847.11,4,3,3.00,43,potential_loyalists
12694.00,57,1,973.68,3,1,3.00,31,about_to_sleep
12695.00,164,3,825.02,2,3,3.00,23,at_Risk
12696.00,70,2,851.91,3,2,3.00,32,about_to_sleep
12698.00,226,1,339.75,1,1,2.00,11,hibernating
12699.00,53,1,638.11,3,1,3.00,31,about_to_sleep
12701.00,165,4,1648.70,2,4,4.00,24,at_Risk
12703.00,269,3,722.98,1,3,3.00,13,at_Risk
12705.00,19,5,4893.81,4,4,5.00,44,loyal_customers
12708.00,4,9,2601.19,5,5,5.00,55,champions
12709.00,2,20,21356.82,5,5,5.00,55,champions
12711.00,247,2,1339.05,1,2,4.00,12,hibernating
12712.00,1,10,2797.53,5,5,5.00,55,champions
12714.00,24,7,9384.85,4,5,5.00,45,loyal_customers
12717.00,226,1,277.93,1,1,2.00,11,hibernating
12720.00,5,6,2478.94,5,4,5.00,54,champions
12721.00,21,2,1356.95,4,2,4.00,42,potential_loyalists
12724.00,19,3,1286.11,4,3,4.00,43,potential_loyalists
12725.00,7,4,2266.76,5,4,5.00,54,champions
12726.00,23,4,1405.50,4,4,4.00,44,loyal_customers
12727.00,78,3,1698.83,2,3,4.00,23,at_Risk
12728.00,19,1,233.84,4,1,1.00,41,promising
12730.00,157,1,829.25,2,1,3.00,21,hibernating
12731.00,78,5,6879.80,2,4,5.00,24,at_Risk
12733.00,25,3,2040.92,4,3,4.00,43,potential_loyalists
12734.00,10,2,529.25,5,2,3.00,52,potential_loyalists
12737.00,134,2,3710.50,2,2,5.00,22,hibernating
12738.00,8,1,155.35,5,1,1.00,51,new_customers
12739.00,21,2,1713.69,4,2,4.00,42,potential_loyalists
12741.00,165,2,406.07,2,2,2.00,22,hibernating
12742.00,261,1,1201.52,1,1,4.00,11,hibernating
12744.00,95,4,4037.77,2,4,5.00,24,at_Risk
12745.00,122,3,925.41,2,3,3.00,23,at_Risk
12746.00,176,1,254.55,2,1,2.00,21,hibernating
12747.00,5,16,5080.53,5,5,5.00,55,champions
12748.00,1,144,22879.66,5,5,5.00,55,champions
12749.00,35,4,2806.48,4,4,5.00,44,loyal_customers
12751.00,80,1,268.27,2,1,2.00,21,hibernating
12755.00,1,10,5218.71,5,5,5.00,55,champions
12758.00,95,5,7111.65,2,4,5.00,24,at_Risk
12759.00,22,5,3489.30,4,4,5.00,44,loyal_customers
12760.00,91,1,347.80,2,1,2.00,21,hibernating
12761.00,93,2,782.95,2,2,3.00,22,hibernating
12763.00,5,1,320.08,5,1,2.00,51,new_customers
12765.00,108,6,1404.58,2,4,4.00,24,at_Risk
12766.00,2,3,3078.65,5,3,5.00,53,potential_loyalists
12767.00,11,1,949.82,5,1,3.00,51,new_customers
12768.00,86,1,168.69,2,1,1.00,21,hibernating
12770.00,92,1,1895.00,2,1,4.00,21,hibernating
12771.00,121,1,282.30,2,1,2.00,21,hibernating
12773.00,200,1,124.25,1,1,1.00,11,hibernating
12774.00,171,1,98.70,2,1,1.00,21,hibernating
12775.00,24,2,300.08,4,2,2.00,42,potential_loyalists
12776.00,303,1,55.50,1,1,1.00,11,hibernating
12777.00,93,1,519.45,2,1,3.00,21,hibernating
12778.00,32,3,953.45,4,3,3.00,43,potential_loyalists
12779.00,7,7,2740.91,5,5,5.00,55,champions
12780.00,234,1,337.40,1,1,2.00,11,hibernating
12782.00,10,6,2287.32,5,4,5.00,54,champions
12784.00,165,1,1230.33,2,1,4.00,21,hibernating
12785.00,171,2,788.45,2,2,3.00,22,hibernating
12786.00,245,1,728.50,1,1,3.00,11,hibernating
12787.00,49,1,398.52,3,1,2.00,31,about_to_sleep
12788.00,99,4,444.90,2,4,2.00,24,at_Risk
12789.00,148,2,181.50,2,2,1.00,22,hibernating
12790.00,46,1,266.93,3,1,2.00,31,about_to_sleep
12791.00,9,6,863.51,5,4,3.00,54,champions
12792.00,170,1,426.47,2,1,2.00,21,hibernating
12793.00,7,2,471.85,5,2,2.00,52,potential_loyalists
12796.00,264,1,381.00,1,1,2.00,11,hibernating
12797.00,1,2,552.08,5,2,3.00,52,potential_loyalists
12798.00,57,1,1533.89,3,1,4.00,31,about_to_sleep
12799.00,165,1,219.35,2,1,1.00,21,hibernating
12800.00,106,3,584.25,2,3,3.00,23,at_Risk
12801.00,136,1,1071.82,2,1,4.00,21,hibernating
12802.00,78,6,1988.84,2,4,4.00,24,at_Risk
12803.00,29,1,1092.81,4,1,4.00,41,promising
12804.00,101,2,327.02,2,2,2.00,22,hibernating
12805.00,17,4,1434.95,4,4,4.00,44,loyal_customers
12806.00,71,4,2878.96,3,4,5.00,34,loyal_customers
12807.00,19,1,330.35,4,1,2.00,41,promising
12808.00,4,3,422.45,5,3,2.00,53,potential_loyalists
12809.00,201,2,1266.63,1,2,4.00,12,hibernating
12810.00,170,2,534.99,2,2,3.00,22,hibernating
12811.00,14,2,519.05,5,2,3.00,52,potential_loyalists
12813.00,137,3,1687.80,2,3,4.00,23,at_Risk
12817.00,35,2,524.94,4,2,3.00,42,potential_loyalists
12819.00,94,1,540.52,2,1,3.00,21,hibernating
12820.00,33,7,1747.18,4,5,4.00,45,loyal_customers
12821.00,247,1,128.08,1,1,1.00,11,hibernating
12823.00,30,13,4742.00,4,5,5.00,45,loyal_customers
12825.00,157,2,518.63,2,2,3.00,22,hibernating
12826.00,1,6,1481.03,5,4,4.00,54,champions
12829.00,186,1,92.30,1,1,1.00,11,hibernating
12831.00,99,2,236.06,2,2,1.00,22,hibernating
12835.00,63,41,6043.31,3,5,5.00,35,loyal_customers
12836.00,25,11,3972.76,4,5,5.00,45,loyal_customers
12837.00,205,1,554.31,1,1,3.00,11,hibernating
12838.00,9,9,2715.35,5,5,5.00,55,champions
12839.00,3,13,4480.31,5,5,5.00,55,champions
12840.00,73,3,1315.20,2,3,4.00,23,at_Risk
12841.00,5,17,3518.33,5,5,5.00,55,champions
12842.00,40,2,799.00,3,2,3.00,32,about_to_sleep
12843.00,18,22,4886.15,4,5,5.00,45,loyal_customers
12844.00,78,2,322.64,2,2,2.00,22,hibernating
12846.00,318,1,15.58,1,1,1.00,11,hibernating
12847.00,23,1,765.36,4,1,3.00,41,promising
12848.00,311,1,208.00,1,1,1.00,11,hibernating
12849.00,17,4,2039.67,4,4,4.00,44,loyal_customers
12850.00,81,1,330.00,2,1,2.00,21,hibernating
12851.00,113,1,148.95,2,1,1.00,21,hibernating
12853.00,63,5,1950.40,3,4,4.00,34,loyal_customers
12854.00,197,4,1669.52,1,4,4.00,14,at_Risk
12855.00,8,4,612.84,5,4,3.00,54,champions
12857.00,72,4,2581.60,2,4,5.00,24,at_Risk
12858.00,19,1,177.92,4,1,1.00,41,promising
12859.00,94,1,575.10,2,1,3.00,21,hibernating
12860.00,329,1,55.47,1,1,1.00,11,hibernating
12861.00,255,1,68.25,1,1,1.00,11,hibernating
12862.00,61,2,1008.32,3,2,4.00,32,about_to_sleep
12863.00,15,5,2271.35,5,4,5.00,54,champions
12864.00,144,1,152.45,2,1,1.00,21,hibernating
12865.00,14,2,1755.24,5,2,4.00,52,potential_loyalists
12866.00,110,2,668.23,2,2,3.00,22,hibernating
12867.00,33,6,3876.47,4,4,5.00,44,loyal_customers
12868.00,9,3,640.00,5,3,3.00,53,potential_loyalists
12869.00,317,1,337.67,1,1,2.00,11,hibernating
12870.00,11,3,1676.95,5,3,4.00,53,potential_loyalists
12871.00,75,1,363.38,2,1,2.00,21,hibernating
12872.00,1,11,3085.52,5,5,5.00,55,champions
12873.00,33,2,1653.30,4,2,4.00,42,potential_loyalists
12874.00,21,2,948.42,4,2,3.00,42,potential_loyalists
12875.00,107,3,1013.76,2,3,4.00,23,at_Risk
12876.00,30,2,1863.77,4,2,4.00,42,potential_loyalists
12877.00,37,8,1419.40,3,5,4.00,35,loyal_customers
12880.00,17,2,640.13,4,2,3.00,42,potential_loyalists
12887.00,19,1,222.40,4,1,1.00,41,promising
12889.00,17,4,385.46,4,4,2.00,44,loyal_customers
12890.00,23,1,336.80,4,1,2.00,41,promising
12891.00,94,8,509.50,2,5,3.00,25,cant_loose
12892.00,32,1,263.38,4,1,2.00,41,promising
12894.00,211,1,157.35,1,1,1.00,11,hibernating
12897.00,17,2,297.75,4,2,2.00,42,potential_loyalists
12898.00,99,2,310.96,2,2,2.00,22,hibernating
12899.00,49,1,366.40,3,1,2.00,31,about_to_sleep
12900.00,58,1,340.33,3,1,2.00,31,about_to_sleep
12903.00,64,1,833.53,3,1,3.00,31,about_to_sleep
12905.00,212,2,1018.42,1,2,4.00,12,hibernating
12907.00,31,2,508.91,4,2,3.00,42,potential_loyalists
12908.00,16,3,1026.00,4,3,4.00,43,potential_loyalists
12909.00,60,3,924.52,3,3,3.00,33,need_attention
12910.00,15,5,2721.48,5,4,5.00,54,champions
12911.00,187,1,1680.47,1,1,4.00,11,hibernating
12913.00,4,9,4217.23,5,5,5.00,55,champions
12914.00,36,1,223.98,4,1,1.00,41,promising
12915.00,8,3,811.10,5,3,3.00,53,potential_loyalists
12916.00,78,3,1647.87,2,3,4.00,23,at_Risk
12917.00,36,5,3765.20,4,4,5.00,44,loyal_customers
12918.00,262,1,10953.50,1,1,5.00,11,hibernating
12920.00,207,3,323.86,1,3,2.00,13,at_Risk
12921.00,2,39,19333.95,5,5,5.00,55,champions
12923.00,26,2,612.90,4,2,3.00,42,potential_loyalists
12924.00,29,8,1535.70,4,5,4.00,45,loyal_customers
12925.00,228,1,35.28,1,1,1.00,11,hibernating
12926.00,47,4,1548.46,3,4,4.00,34,loyal_customers
12927.00,30,1,197.31,4,1,1.00,41,promising
12928.00,14,7,2242.19,5,5,5.00,55,champions
12931.00,16,42,50291.38,4,5,5.00,45,loyal_customers
12932.00,175,8,1698.56,2,5,4.00,25,cant_loose
12933.00,16,5,1079.50,4,4,4.00,44,loyal_customers
12934.00,372,1,181.65,1,1,1.00,11,hibernating
12935.00,11,8,2083.16,5,5,4.00,55,champions
12937.00,99,5,1593.34,2,4,4.00,24,at_Risk
12939.00,15,12,13683.00,5,5,5.00,55,champions
12941.00,360,1,377.49,1,1,2.00,11,hibernating
12942.00,1,1,258.75,5,1,2.00,51,new_customers
12943.00,194,2,496.50,1,2,2.00,12,hibernating
12945.00,292,1,437.16,1,1,2.00,11,hibernating
12946.00,72,1,324.45,2,1,2.00,21,hibernating
12947.00,9,1,304.04,5,1,2.00,51,new_customers
12948.00,366,2,252.48,1,2,1.00,12,hibernating
12949.00,18,14,11359.48,4,5,5.00,45,loyal_customers
12951.00,22,9,2149.65,4,5,5.00,45,loyal_customers
12953.00,158,1,498.96,2,1,2.00,21,hibernating
12954.00,274,1,162.45,1,1,1.00,11,hibernating
12956.00,320,3,413.82,1,3,2.00,13,at_Risk
12957.00,177,5,4689.43,1,4,5.00,14,at_Risk
12958.00,36,2,539.49,4,2,3.00,42,potential_loyalists
12959.00,120,1,150.95,2,1,1.00,21,hibernating
12960.00,49,4,1322.07,3,4,4.00,34,loyal_customers
12961.00,15,1,211.99,5,1,1.00,51,new_customers
12963.00,1,5,1744.96,5,4,4.00,54,champions
12964.00,73,1,132.24,2,1,1.00,21,hibernating
12967.00,7,2,2646.02,5,2,5.00,52,potential_loyalists
12969.00,238,1,122.45,1,1,1.00,11,hibernating
12970.00,16,6,1072.73,4,4,4.00,44,loyal_customers
12971.00,2,33,4782.88,5,5,5.00,55,champions
12972.00,49,4,1161.20,3,4,4.00,34,loyal_customers
12973.00,49,1,385.55,3,1,2.00,31,about_to_sleep
12974.00,201,1,264.15,1,1,2.00,11,hibernating
12975.00,72,6,2100.09,2,4,4.00,24,at_Risk
12976.00,14,7,2417.78,5,5,5.00,55,champions
12977.00,137,3,478.39,2,3,2.00,23,at_Risk
12978.00,21,5,2502.82,4,4,5.00,44,loyal_customers
12979.00,365,1,517.70,1,1,3.00,11,hibernating
12980.00,22,12,8870.88,4,5,5.00,45,loyal_customers
12982.00,30,7,2354.27,4,5,5.00,45,loyal_customers
12983.00,234,1,490.08,1,1,2.00,11,hibernating
12986.00,64,10,2729.84,3,5,5.00,35,loyal_customers
12987.00,56,3,753.51,3,3,3.00,33,need_attention
12989.00,60,18,6627.64,3,5,5.00,35,loyal_customers
12990.00,53,4,546.00,3,4,3.00,34,loyal_customers
12991.00,25,1,261.06,4,1,2.00,41,promising
12992.00,361,1,93.35,1,1,1.00,11,hibernating
12993.00,81,4,844.87,2,4,3.00,24,at_Risk
12996.00,11,1,355.50,5,1,2.00,51,new_customers
12997.00,30,4,884.02,4,4,3.00,44,loyal_customers
12998.00,128,3,920.08,2,3,3.00,23,at_Risk
13000.00,361,1,497.65,1,1,2.00,11,hibernating
13001.00,40,20,14353.28,3,5,5.00,35,loyal_customers
13002.00,52,2,293.18,3,2,2.00,32,about_to_sleep
13004.00,22,18,5994.94,4,5,5.00,45,loyal_customers
13005.00,67,2,485.98,3,2,2.00,32,about_to_sleep
13007.00,215,1,175.25,1,1,1.00,11,hibernating
13008.00,33,2,382.66,4,2,2.00,42,potential_loyalists
13009.00,308,1,234.00,1,1,1.00,11,hibernating
13010.00,10,2,330.12,5,2,2.00,52,potential_loyalists
13011.00,8,1,50.55,5,1,1.00,51,new_customers
13012.00,65,3,1310.99,3,3,4.00,33,need_attention
13013.00,7,18,7814.83,5,5,5.00,55,champions
13014.00,68,1,1914.80,3,1,4.00,31,about_to_sleep
13015.00,74,6,3240.14,2,4,5.00,24,at_Risk
13018.00,49,7,2485.46,3,5,5.00,35,loyal_customers
13019.00,15,6,1229.95,5,4,4.00,54,champions
13020.00,198,2,618.96,1,2,3.00,12,hibernating
13021.00,10,8,2270.86,5,5,5.00,55,champions
13022.00,65,1,65.30,3,1,1.00,31,about_to_sleep
13023.00,164,1,759.13,2,1,3.00,21,hibernating
13024.00,106,2,555.87,2,2,3.00,22,hibernating
13025.00,367,1,323.39,1,1,2.00,11,hibernating
13026.00,124,4,757.72,2,4,3.00,24,at_Risk
13027.00,21,13,10423.20,4,5,5.00,45,loyal_customers
13029.00,10,2,679.80,5,2,3.00,52,potential_loyalists
13030.00,4,1,427.74,5,1,2.00,51,new_customers
13031.00,43,5,3419.27,3,4,5.00,34,loyal_customers
13032.00,28,7,1833.37,4,5,4.00,45,loyal_customers
13033.00,65,1,30.00,3,1,1.00,31,about_to_sleep
13034.00,5,2,279.91,5,2,2.00,52,potential_loyalists
13035.00,67,1,442.32,3,1,2.00,31,about_to_sleep
13036.00,320,1,307.10,1,1,2.00,11,hibernating
13037.00,35,9,3033.88,4,5,5.00,45,loyal_customers
13039.00,220,4,1010.73,1,4,4.00,14,at_Risk
13041.00,86,4,799.13,2,4,3.00,24,at_Risk
13042.00,234,3,1556.54,1,3,4.00,13,at_Risk
13044.00,128,10,4293.43,2,5,5.00,25,cant_loose
13045.00,37,2,503.64,3,2,2.00,32,about_to_sleep
13046.00,92,1,319.94,2,1,2.00,21,hibernating
13047.00,9,17,5557.62,5,5,5.00,55,champions
13048.00,72,5,2248.30,2,4,5.00,24,at_Risk
